text,username,first_name,last_name,is_deleted,has_media,has_link,cleaned_text,has_caps,is_spam
Пассажиры поезда «Уфа — Сибай — Уфа» смогут приобрести билеты по льготной цене https://t.co/MiZKpIV2uh,unknown,unknown,unknown,-1,0,1,Пассажиры поезда «Уфа — Сибай — Уфа» смогут приобрести билеты по льготной цене https://t.co/MiZKpIV2uh,0,1
Насколько гуманно что бы человек имел какое либо заболевание на протяжении всей жизни?,Dimon_Sanchez_Jr,Dimon,Dimka,0,0,0,Насколько гуманно что бы человек имел какое либо заболевание на протяжении всей жизни?,0,0
"Вот нам бы ещё отказаться от арабских цифр...
Тогда заживем!",IVryabov,Ivan,Ryabov,0,0,0,"Вот нам бы ещё отказаться от арабских цифр...
Тогда заживем!",0,0
,abort_baby,nik,unknown,0,1,0,,0,0
"понятно, вы считаете что книга интересная вам нужна всем. Мне ее в туалете положить на случай отсутствия туалетной бумаги, как в городке показывали?)
Почитайте Коран.",deleted,RAJ,unknown,0,0,0,"понятно, вы считаете что книга интересная вам нужна всем. Мне ее в туалете положить на случай отсутствия туалетной бумаги, как в городке показывали?)
Почитайте Коран.",0,0
Шоколад — враг здоровья!,kleimoook,Стефания Стефочка 💘,unknown,0,0,0,Шоколад — враг здоровья!,0,0
А в чём должны?,symonvespucci,vik,unknown,0,0,0,А в чём должны?,0,0
"Надеюсь, в два раза дороже?",neat0n,neat0n,unknown,0,0,0,"Надеюсь, в два раза дороже?",0,0
"Ну, кто-то должен платить за эту работу. Которой становится всё больше. Государство видимо решило, а с хера ли это должны оплачивать налогоплательщики, так что пусть платят они же, но через повышение издержек всяких провайдеров, как следствие повышение цен на услуги. По-моему так честнее",esergey05,Sergey,E.,0,0,0,"Ну, кто-то должен платить за эту работу. Которой становится всё больше. Государство видимо решило, а с хера ли это должны оплачивать налогоплательщики, так что пусть платят они же, но через повышение издержек всяких провайдеров, как следствие повышение цен на услуги. По-моему так честнее",0,0
"https://t.me/ScInqComments/276882 вот человек вроде спрашивал. Может, ему ещё нужно.",neat0n,neat0n,unknown,0,1,1,"https://t.me/ScInqComments/276882 вот человек вроде спрашивал. Может, ему ещё нужно.",0,0
"Господа, если кто хочет на лекцию Александра в Астане 11 июня, могу отдать свой билет. Так уж вышло, что приехать не смогу, а билеты невозвратные. Не охота чтобы зря пропадал)",Vetrtillit,Vetrtillit,unknown,0,0,0,"Господа, если кто хочет на лекцию Александра в Астане 11 июня, могу отдать свой билет. Так уж вышло, что приехать не смогу, а билеты невозвратные. Не охота чтобы зря пропадал)",0,0
Новейший морской транспорт вооружения «Академик Ковалёв» прибыл в Североморск https://t.co/9dYyVNWcQJ #СоюзникиРоссии,unknown,unknown,unknown,-1,0,1,Новейший морской транспорт вооружения «Академик Ковалёв» прибыл в Североморск https://t.co/9dYyVNWcQJ #СоюзникиРоссии,0,1
"Полет на Марс а там уже и до ближайшей звезды, с гравитационными маневрами",sterncorvette,Ангел,unknown,0,0,0,"Полет на Марс а там уже и до ближайшей звезды, с гравитационными маневрами",0,0
"Погоди, ща он мне про 2 высших образования залепит ;)",JigaD314,Jiga Driga 🎩,unknown,0,0,0,"Погоди, ща он мне про 2 высших образования залепит ;)",0,0
Дед и внук � �  #Оборона@rus_improvisation https://t.co/n0PNCWJoc8,unknown,unknown,unknown,-1,0,1,Дед и внук � �  #Оборона@rus_improvisation https://t.co/n0PNCWJoc8,0,1
#Навальный решил подергать за баранку.  https://t.co/fTYVQZ4VbE #новости #оппозиция #дальнобойщики #политика https://t.co/gXsaSa8fSj,unknown,unknown,unknown,-1,0,1,#Навальный решил подергать за баранку.  https://t.co/fTYVQZ4VbE #новости #оппозиция #дальнобойщики #политика https://t.co/gXsaSa8fSj,0,1
Выйдет она для тестирования на реальных пользователях. В 2026м будет работать нормально.,Socrat44,Ruslan,unknown,0,0,0,Выйдет она для тестирования на реальных пользователях. В 2026м будет работать нормально.,0,0
Вот это сильное место. Оно мне больше всего понравилось  :)))),JigaD314,Jiga Driga 🎩,unknown,0,0,0,Вот это сильное место. Оно мне больше всего понравилось  :)))),0,0
🐹,eCF_Dd2_C6f_140_ddd,unknown,unknown,-1,0,0,🐹,0,0
"А кому-то не хватает денег на операцию для ребенка и их собирают всем миром. А еще на то, чтобы солдаты имели дроны, машины, масксети и многое другое. Страна обожравшихся деньгами скотов",deleted,Игорь,unknown,0,0,0,"А кому-то не хватает денег на операцию для ребенка и их собирают всем миром. А еще на то, чтобы солдаты имели дроны, машины, масксети и многое другое. Страна обожравшихся деньгами скотов",0,0
,mlxevo,Тоша,unknown,0,1,0,,0,0
Они хотя бы избавились от брака,pikovaya13,RG,unknown,0,0,0,Они хотя бы избавились от брака,0,0
только),deleted,RAJ,unknown,0,0,0,только),0,0
"Они п...дят)
Всё простод",soloviev_vasiliy,соловьёв василий,unknown,0,0,0,"Они п...дят)
Всё простод",0,0
https://t.co/tOk3FRWg3B,unknown,unknown,unknown,-1,0,1,https://t.co/tOk3FRWg3B,0,1
"С. Иванов: российский футбол не смотрю принципиально, мне неприятно http://t.co/bKRxpVyRVu",unknown,unknown,unknown,-1,0,1,"С. Иванов: российский футбол не смотрю принципиально, мне неприятно http://t.co/bKRxpVyRVu",1,1
"У нас задержка рейса. Прошла по магазинам, купила обновки и раскрыла секрет содержания своей… https://t.co/I8YgNlyiDq",unknown,unknown,unknown,-1,0,1,"У нас задержка рейса. Прошла по магазинам, купила обновки и раскрыла секрет содержания своей… https://t.co/I8YgNlyiDq",0,1
Продам билет на лекцию Александра в Алматы сегодня 7.06 в 19:00,sayority,Nastya,Sayority,0,0,0,Продам билет на лекцию Александра в Алматы сегодня 7.06 в 19:00,0,0
Глава МИД Британии назвал способы борьбы с ИГ https://t.co/ZLow8ZuQtf © AP Photo/ Virginia Mayo https://t.co/8Pghn1uert,unknown,unknown,unknown,-1,0,1,Глава МИД Британии назвал способы борьбы с ИГ https://t.co/ZLow8ZuQtf © AP Photo/ Virginia Mayo https://t.co/8Pghn1uert,1,1
Тюменец заплатит 100 тысяч рублей за прописку мигрантов https://t.co/mVFtOl8geg #Тюмень #новости,unknown,unknown,unknown,-1,0,1,Тюменец заплатит 100 тысяч рублей за прописку мигрантов https://t.co/mVFtOl8geg #Тюмень #новости,0,1
,deleted,unknown,unknown,-1,1,0,,0,0
"Спасибо, напишу",sayority,Nastya,Sayority,0,0,0,"Спасибо, напишу",0,0
"Блин, ну она хоть стратегические места моет… А я вот после клуба вся липкая, но тебе бы разрешила облизать меня целиком, особенно между ног… 🥵",telliottn,Лера Сладкая 🍬,unknown,0,0,0,"Блин, ну она хоть стратегические места моет… А я вот после клуба вся липкая, но тебе бы разрешила облизать меня целиком, особенно между ног… 🥵",0,0
"EP ""FIVE"" завтра 20:00  https://t.co/UpMWhQfc80",unknown,unknown,unknown,-1,0,1,"EP ""FIVE"" завтра 20:00  https://t.co/UpMWhQfc80",1,1
Участники переговоров в Женеве признали Сирию светским государством https://t.co/VwjuBNOv6J,unknown,unknown,unknown,-1,0,1,Участники переговоров в Женеве признали Сирию светским государством https://t.co/VwjuBNOv6J,0,1
Скоро появится новый тренд!,kleimoook,Стефания Стефочка 💘,unknown,0,0,0,Скоро появится новый тренд!,0,0
"А может всё это театр, ну по типу рестлинга, в котором выступал Трамп, где тоже все ссорятся и ломают друг об друга каскадёрский реквизит или комедий, в которых снимался Трамп или очередные «полёты на Луну в прямом эфире», а?",vvashurin,Vladimir,unknown,0,0,0,"А может всё это театр, ну по типу рестлинга, в котором выступал Трамп, где тоже все ссорятся и ломают друг об друга каскадёрский реквизит или комедий, в которых снимался Трамп или очередные «полёты на Луну в прямом эфире», а?",0,0
"Градус напряжения пошел вниз - Кубань вышла из ""красной группы"" по уровню конфликтностиКраснодарский край переместился в https://t.co/limA5mpwAt",unknown,unknown,unknown,-1,0,1,"Градус напряжения пошел вниз - Кубань вышла из ""красной группы"" по уровню конфликтностиКраснодарский край переместился в https://t.co/limA5mpwAt",0,1
"Так это и есть нечеткая логика - когда утверждение имеет размытые границы, отнесение к определенной категории - частный случай утверждения.",deleted,Mr,Spock,0,0,0,"Так это и есть нечеткая логика - когда утверждение имеет размытые границы, отнесение к определенной категории - частный случай утверждения.",0,0
"Могло бы быть адекватно, если бы тариф был бы не пропорционален массе, а, например, квадратному корню от массы.

Но почему-то законодатели не умеют в функции сложнее линейной. Вот и выходит, что аппроксимация реальности при этрм выходит очень кривой.",Self_Perfection,Alexander,unknown,0,0,0,"Могло бы быть адекватно, если бы тариф был бы не пропорционален массе, а, например, квадратному корню от массы.

Но почему-то законодатели не умеют в функции сложнее линейной. Вот и выходит, что аппроксимация реальности при этрм выходит очень кривой.",0,0
А есть хотя бы примерные оценки сколько сгорело газа за 50 лет?,ziavra,Vladimir,Chaplits,0,0,0,А есть хотя бы примерные оценки сколько сгорело газа за 50 лет?,0,0
"Скажите, сейчас 2018 год? Или, может быть 2015? Или 2011? Или же 2002?

Кем называется?)",Kichaev_ilia,unknown,unknown,-1,0,0,"Скажите, сейчас 2018 год? Или, может быть 2015? Или 2011? Или же 2002?

Кем называется?)",0,0
"Цитата дня:
""Когнитивные психологи используют понятие «радиальных категорий» для описания границ не-аристотелевых понятий. Центральное понятие «мать» означает женщину, которая участвует в зачатии, рождении и воспитании ребёнка. Донор яйцеклеток, которая никогда не увидит своего ребенка будет матерью? Она — «генетическая мать». Как насчет женщины, в которую имплантировали эмбрион, чтоб она его выносила? Она — «суррогатная мать». Ну а женщина, которая воспитывает ребенка, которого не рожала? Она — «приемная мать». Аристотелевский силлогизм звучал бы: «У людей десять пальцев, у Фреда — девять, следовательно — Фред не человек», но в действительности люди думают об этом так: «У людей десять пальцев, Фред — человек, следовательно, Фред — человек с девятью пальцами».
На языке интенсионалов мы можем описать радиальность категорий так: у объекта свойства категории обычно присутствуют, но некоторые могут отсутствовать. Интенсионал слова «мать» будет похож на распределенное по пространству вещей сияние, яркость которого соответствует тому, насколько координаты точки в пространстве соответствуют категории «мать». Сияние будет сконцентрировано в центре, который соответствует одновременно зачатию, рождению и воспитанию. Объём, в который попадут доноры яйцеклеток, тоже будут светиться, но не так ярко.""",RC_1140,RC,1140,0,0,0,"Цитата дня:
""Когнитивные психологи используют понятие «радиальных категорий» для описания границ не-аристотелевых понятий. Центральное понятие «мать» означает женщину, которая участвует в зачатии, рождении и воспитании ребёнка. Донор яйцеклеток, которая никогда не увидит своего ребенка будет матерью? Она — «генетическая мать». Как насчет женщины, в которую имплантировали эмбрион, чтоб она его выносила? Она — «суррогатная мать». Ну а женщина, которая воспитывает ребенка, которого не рожала? Она — «приемная мать». Аристотелевский силлогизм звучал бы: «У людей десять пальцев, у Фреда — девять, следовательно — Фред не человек», но в действительности люди думают об этом так: «У людей десять пальцев, Фред — человек, следовательно, Фред — человек с девятью пальцами».
На языке интенсионалов мы можем описать радиальность категорий так: у объекта свойства категории обычно присутствуют, но некоторые могут отсутствовать. Интенсионал слова «мать» будет похож на распределенное по пространству вещей сияние, яркость которого соответствует тому, насколько координаты точки в пространстве соответствуют категории «мать». Сияние будет сконцентрировано в центре, который соответствует одновременно зачатию, рождению и воспитанию. Объём, в который попадут доноры яйцеклеток, тоже будут светиться, но не так ярко.""",1,0
"Хорошей пятницы, друзья! #Nsk #Новосибирск https://t.co/hAZrSVHYdE",unknown,unknown,unknown,-1,0,1,"Хорошей пятницы, друзья! #Nsk #Новосибирск https://t.co/hAZrSVHYdE",0,1
"А какой следущий этап?)
Что делать будут?",symonvespucci,vik,unknown,0,0,0,"А какой следущий этап?)
Что делать будут?",0,0
"Кто в Сочи останется без света: отключения 14 июня: Сегодня, 14 июня, в течение дня жители 10 населенных пунк... https://t.co/cfFCsO40d0",unknown,unknown,unknown,-1,0,1,"Кто в Сочи останется без света: отключения 14 июня: Сегодня, 14 июня, в течение дня жители 10 населенных пунк... https://t.co/cfFCsO40d0",0,1
"Да, ручное регулирование оно такое",max_dizer,Maksim,Dizer,0,0,0,"Да, ручное регулирование оно такое",0,0
"Типа нос занедорого и подрихтовать можно, а вот с интеллектом так не пойдет. Но выбирают все равно нос",deleted,Наталия,unknown,0,0,0,"Типа нос занедорого и подрихтовать можно, а вот с интеллектом так не пойдет. Но выбирают все равно нос",0,0
💟,eCF_Dd2_C6f_140_ddd,unknown,unknown,-1,0,0,💟,0,0
"https://t.me/starbasepost/2337?single

По моему все было как обычно.",sanitaravel,Александр,Кощеев,0,1,1,"https://t.me/starbasepost/2337?single

По моему все было как обычно.",0,0
"Когда v3 добавят, думаю станет веселее",Uni_ver_se,✎ ᴀꜱᴛʀᴏᴘᴀɪɴᴛᴇʀ 𓅆,unknown,0,0,0,"Когда v3 добавят, думаю станет веселее",0,0
Как и абсолютному большинству. Но нужно же сделать новость из воздуха..,lex4fan,Валерий,Голубев,0,0,0,Как и абсолютному большинству. Но нужно же сделать новость из воздуха..,0,0
"Что там за клоун в чате, Сергей, покажись. Что тебя не устроило?",lex4fan,Валерий,Голубев,0,0,0,"Что там за клоун в чате, Сергей, покажись. Что тебя не устроило?",0,0
FAA буквально создало и контролирует самую развитую авиаотрасль в мире) ничего эффективнее просто не существует судя по результатам,max_dizer,Maksim,Dizer,0,0,0,FAA буквально создало и контролирует самую развитую авиаотрасль в мире) ничего эффективнее просто не существует судя по результатам,1,0
Движение троллейбусов между Симферополем и Ялтой приостановлено из-за обесточивания линии https://t.co/vM8nVKsoj8 https://t.co/nZm9jDGJop,unknown,unknown,unknown,-1,0,1,Движение троллейбусов между Симферополем и Ялтой приостановлено из-за обесточивания линии https://t.co/vM8nVKsoj8 https://t.co/nZm9jDGJop,0,1
#Явлинский: Я выиграю #выборы у #Путин'а.  https://t.co/GwugR7r5VA #новости #политика  #Яблоко #выборы #РФ https://t.co/SGsggEftEk,unknown,unknown,unknown,-1,0,1,#Явлинский: Я выиграю #выборы у #Путин'а.  https://t.co/GwugR7r5VA #новости #политика  #Яблоко #выборы #РФ https://t.co/SGsggEftEk,1,1
"Спикер Госсовета РТ: ИГИЛ – это люди безрелигиозные, безбожники и без национальности https://t.co/JosU9zg3Mm",unknown,unknown,unknown,-1,0,1,"Спикер Госсовета РТ: ИГИЛ – это люди безрелигиозные, безбожники и без национальности https://t.co/JosU9zg3Mm",1,1
"А правки и надстройки патчами выходят на разные устройства в разные периоды и начнутся числа после точек.. и снова будет 26.1.1 и тд.. и везде разное..
Так что это бред, шило на мыло меняют.",lex4fan,Валерий,Голубев,0,0,0,"А правки и надстройки патчами выходят на разные устройства в разные периоды и начнутся числа после точек.. и снова будет 26.1.1 и тд.. и везде разное..
Так что это бред, шило на мыло меняют.",0,0
"""Бессмертие для всех, даром, и пусть никто не уйдет обиженный! """,yurevich555,Сергей,Юрьевич,0,1,0,"""Бессмертие для всех, даром, и пусть никто не уйдет обиженный! """,0,0
Ирак: боевики ИГ взяли на себя ответственность за теракт в Багдаде   https://t.co/fccOwe4N1m https://t.co/KDpe9DaO2C,unknown,unknown,unknown,-1,0,1,Ирак: боевики ИГ взяли на себя ответственность за теракт в Багдаде   https://t.co/fccOwe4N1m https://t.co/KDpe9DaO2C,1,1
как и было предсказано..,TheroL,Thero,Layfer,0,0,0,как и было предсказано..,0,0
👀,k2a_2Ed_27f_5F0_FFe,unknown,unknown,-1,0,0,👀,0,0
"О, мои коллеги засветились! 

Они, кстати, в сентябре проводят большую конференцию по теме ""развитие науки и технологий в СССР"". Может быть, кому-то из читателей будет [интересно.](https://t.me/sciencehistoryrsuh/1290)",Roman_Yankovskiy,Roman,Yankovskiy,0,0,1,"О, мои коллеги засветились! 

Они, кстати, в сентябре проводят большую конференцию по теме ""развитие науки и технологий в СССР"". Может быть, кому-то из читателей будет [интересно.](https://t.me/sciencehistoryrsuh/1290)",1,0
Совет WADA утвердил решение о несоответствии РУСАДА кодексу организации  https://t.co/SZWh3mmloV,unknown,unknown,unknown,-1,0,1,Совет WADA утвердил решение о несоответствии РУСАДА кодексу организации  https://t.co/SZWh3mmloV,1,1
Почему ошибочно? Именно так любое государство и работает,deleted,Alexey,Ivushkin,0,0,0,Почему ошибочно? Именно так любое государство и работает,0,0
"Ну вот, а должны были американцы «вернуться» на Луну😁😁 благодаря проекту «Артемида».
Но теперь облом, ведь два медийных человека друг друга обозвали в соцсетях😁",vvashurin,Vladimir,unknown,0,0,0,"Ну вот, а должны были американцы «вернуться» на Луну😁😁 благодаря проекту «Артемида».
Но теперь облом, ведь два медийных человека друг друга обозвали в соцсетях😁",0,0
"Данные свидетельствуют о том, что, возможно, пришло время отказаться от термина «случайная ошибка», когда речь идет о мутациях ДНК, и заменить его на .... а вот на что это мы в дебатах панчину и настучим ыыы.",yurevich555,Сергей,Юрьевич,0,0,0,"Данные свидетельствуют о том, что, возможно, пришло время отказаться от термина «случайная ошибка», когда речь идет о мутациях ДНК, и заменить его на .... а вот на что это мы в дебатах панчину и настучим ыыы.",1,0
ВИДЕО. В Алма-Ате эвакуируют жителей  http://t.co/T0vhRmwwCz http://t.co/Khk0F6g2oL,unknown,unknown,unknown,-1,0,1,ВИДЕО. В Алма-Ате эвакуируют жителей  http://t.co/T0vhRmwwCz http://t.co/Khk0F6g2oL,1,1
"Ад пуст, все бесы здесь",Sverd,Levi (Yury),Sverdlov,0,0,0,"Ад пуст, все бесы здесь",0,0
опять какой то текст на непонятном языке 🤷‍♂,deleted,RAJ,unknown,0,0,0,опять какой то текст на непонятном языке 🤷‍♂,0,0
"я например редко ставлю минорные обновления в день выхода, или в принципе не обновляюсь, только когда совсем станет нечего делать

но в сентябре всегда ставлю новую версию, чтобы потыкать че там нового завезли",ndkrmsh,ndkrmsh,unknown,0,0,0,"я например редко ставлю минорные обновления в день выхода, или в принципе не обновляюсь, только когда совсем станет нечего делать

но в сентябре всегда ставлю новую версию, чтобы потыкать че там нового завезли",0,0
Ждем доп. плату за каждую тонну веса ракеты.,Ya_Tuparik,SenchQ 🇺🇦,unknown,0,0,0,Ждем доп. плату за каждую тонну веса ракеты.,0,0
Ну тогда посмотрим что будет дальше,Pavel_Intelligence,unknown,unknown,-1,0,0,Ну тогда посмотрим что будет дальше,0,0
"__Но 11 августа 1937 г. он был арестован по ложному доносу, осужден и погиб в Северо-Восточном лагере (на территории «Дальстроя» на Колыме) 8 августа 1940 г. Реабилитирован в 1956 г. __
https://www.orientalstudies.ru/rus/images/pdf/add1/b_kulganek_yusupova_eds_2021.pdf

😞",ziavra,Vladimir,Chaplits,0,0,1,"__Но 11 августа 1937 г. он был арестован по ложному доносу, осужден и погиб в Северо-Восточном лагере (на территории «Дальстроя» на Колыме) 8 августа 1940 г. Реабилитирован в 1956 г. __
https://www.orientalstudies.ru/rus/images/pdf/add1/b_kulganek_yusupova_eds_2021.pdf

😞",0,0
https://t.co/tEcnyK3v1i,unknown,unknown,unknown,-1,0,1,https://t.co/tEcnyK3v1i,0,1
Магнитогорские хоккеисты уступили «Югре» https://t.co/hBTsC7dZ4c,unknown,unknown,unknown,-1,0,1,Магнитогорские хоккеисты уступили «Югре» https://t.co/hBTsC7dZ4c,0,1
"Честно говоря, вообще абсолютно фиолетово, под каким номером будет ось. Кому не все равно…?",nostereoo,Марганцовка,unknown,0,0,0,"Честно говоря, вообще абсолютно фиолетово, под каким номером будет ось. Кому не все равно…?",0,0
"Это классика, я не знаю какую пользу принесёт электричество, но налогов будет собираться с него Огого.",DenisVF,EvilRadish,unknown,0,0,0,"Это классика, я не знаю какую пользу принесёт электричество, но налогов будет собираться с него Огого.",0,0
"Астронавты это астронавты. Да, престиж, но в крайнем случае можно возить Роскосмосом. А может Боинг что-то достроит.

Оборона страны несколько другая история. Насчёт постановки возможно.",ziavra,Vladimir,Chaplits,0,0,0,"Астронавты это астронавты. Да, престиж, но в крайнем случае можно возить Роскосмосом. А может Боинг что-то достроит.

Оборона страны несколько другая история. Насчёт постановки возможно.",0,0
"правые если что всгда были за налоги, да побольше и пожёстче. эт ток узкая прослойка либертарианцев иное рассказывает..",TheroL,Thero,Layfer,0,0,0,"правые если что всгда были за налоги, да побольше и пожёстче. эт ток узкая прослойка либертарианцев иное рассказывает..",0,0
,Uni_ver_se,✎ ᴀꜱᴛʀᴏᴘᴀɪɴᴛᴇʀ 𓅆,unknown,0,1,0,,0,0
"на практике если и ускорится возможность пускать, то пускать будет нечего и некому. но в ртс бы сработало наверное, там заморозка любого исследования бесплатная стопай и перекидывай приоритеты не получая пенальти.",TheroL,Thero,Layfer,0,0,0,"на практике если и ускорится возможность пускать, то пускать будет нечего и некому. но в ртс бы сработало наверное, там заморозка любого исследования бесплатная стопай и перекидывай приоритеты не получая пенальти.",0,0
Степана-то разбанили? 👀,ziavra,Vladimir,Chaplits,0,0,0,Степана-то разбанили? 👀,0,0
"Большая разница, вы, что вы не в Исландии, или Новой Зеландии",Coming_Undone91,Li,unknown,0,0,0,"Большая разница, вы, что вы не в Исландии, или Новой Зеландии",0,0
"Придурки, за всё платит конечный потребитель, а значит меньше покупать станут, обложить космическую сферу доп. налогами и она медленнее  развиваться будет, наоборот надо сделать закон благодаря которому первые 100 лет всё связанно с космосом будет без пошлин и налогов, это очень забустит развитие.",dimoneone,Дмитрий,unknown,0,0,0,"Придурки, за всё платит конечный потребитель, а значит меньше покупать станут, обложить космическую сферу доп. налогами и она медленнее  развиваться будет, наоборот надо сделать закон благодаря которому первые 100 лет всё связанно с космосом будет без пошлин и налогов, это очень забустит развитие.",0,0
"Оффтопик. Посмотрел вот такое видео https://youtu.be/5FJBHyLJ46U?si=j0qhbE4CdfNdNLS9 Что интересно: по ДНК преступника, которого не было в базе данных, нашли его троюродную сестру. И через неё предполагаемого преступника, родственника. Он и оказался преступником. Мощный инструмент, этот ваш ДНК-анализ. 👍",sokolov_o,Oleg,Sokolov,0,1,1,"Оффтопик. Посмотрел вот такое видео https://youtu.be/5FJBHyLJ46U?si=j0qhbE4CdfNdNLS9 Что интересно: по ДНК преступника, которого не было в базе данных, нашли его троюродную сестру. И через неё предполагаемого преступника, родственника. Он и оказался преступником. Мощный инструмент, этот ваш ДНК-анализ. 👍",1,0
А у бетотестеров будет ось 2026 года в первой половине 2025-го!,deleted,Дядя Артём aka Семантический инженер,unknown,0,0,0,А у бетотестеров будет ось 2026 года в первой половине 2025-го!,0,0
"ИГ публично казнило двух мужчин, обвинив их провозе продовольствия в осаждённый Дейр-эз-Зор  https://t.co/2mHx2EK4iH https://t.co/aaKmsS1ipt",unknown,unknown,unknown,-1,0,1,"ИГ публично казнило двух мужчин, обвинив их провозе продовольствия в осаждённый Дейр-эз-Зор  https://t.co/2mHx2EK4iH https://t.co/aaKmsS1ipt",1,1
Губернатор Нижегородской области Валерий Шанцев вошел в новый состав президиума Государственного совета РФ #НижнийНовгород https://t.co/56eJnabl03,unknown,unknown,unknown,-1,0,1,Губернатор Нижегородской области Валерий Шанцев вошел в новый состав президиума Государственного совета РФ #НижнийНовгород https://t.co/56eJnabl03,1,1
скажите путину что надо ещё больше таджиков завозить тогда они смогут ещё каких-нибудь болезней сюда притащить,maksimbelov99,Максим,Белов,0,0,0,скажите путину что надо ещё больше таджиков завозить тогда они смогут ещё каких-нибудь болезней сюда притащить,0,0
гомеопатия существует а эволюция нет:) не тем ты панчин занимался всю жисть ыыы,yurevich555,Сергей,Юрьевич,0,0,0,гомеопатия существует а эволюция нет:) не тем ты панчин занимался всю жисть ыыы,0,0
Жителей Ванинского района лишили шанса купить алкоголь через Интернет https://t.co/3yNIx4VpLW,unknown,unknown,unknown,-1,0,1,Жителей Ванинского района лишили шанса купить алкоголь через Интернет https://t.co/3yNIx4VpLW,0,1
Где я считаю?,Kichaev_ilia,unknown,unknown,-1,0,0,Где я считаю?,0,0
Не успел там побывать...(,Followtheknight,Yevgeniy,unknown,0,0,0,Не успел там побывать...(,0,0
И всю эту красоту привожу я и мои коллеги)))),deleted,😎Radik😎,unknown,0,0,0,И всю эту красоту привожу я и мои коллеги)))),0,0
https://t.me/BIoomberg/38194,deleted,unknown,unknown,-1,1,1,https://t.me/BIoomberg/38194,0,0
"Вот она, любимая тема!",JigaD314,Jiga Driga 🎩,unknown,0,0,0,"Вот она, любимая тема!",0,0
Discovery закрывает культовое шоу «Разрушители легенд»  #кино,unknown,unknown,unknown,-1,0,0,Discovery закрывает культовое шоу «Разрушители легенд»  #кино,0,1
"главное, чтобы путь нового поколения бустеров не был как путь шипов в2)",wtf_my_life,Владислав,unknown,0,0,0,"главное, чтобы путь нового поколения бустеров не был как путь шипов в2)",0,0
А BO в футах и милях,symonvespucci,vik,unknown,0,1,0,А BO в футах и милях,1,0
Свердловские инвалиды защитили свое имя от нападок ЦСКА https://t.co/PedEg6dJJ3 https://t.co/0FNYdlPiSm,unknown,unknown,unknown,-1,0,1,Свердловские инвалиды защитили свое имя от нападок ЦСКА https://t.co/PedEg6dJJ3 https://t.co/0FNYdlPiSm,1,1
"Бетатестеры не в счёт, это неофициальный релиз",Kichaev_ilia,unknown,unknown,-1,0,0,"Бетатестеры не в счёт, это неофициальный релиз",0,0
Один из дворов в городе Кумертау кардинально преобразился. Местный общественный деятель украсил порядка десяти деревьев различными узорами. https://t.co/I5u1ncjpyD,unknown,unknown,unknown,-1,0,1,Один из дворов в городе Кумертау кардинально преобразился. Местный общественный деятель украсил порядка десяти деревьев различными узорами. https://t.co/I5u1ncjpyD,0,1
