text,has_link,has_caps,is_spam,cleared_text,mention_count,has_hashtag,spam_keyword_count,spam_keyword_ratio,excl_quest_count,punctuation_density,text_length,word_count,sentiment
"понятно, вы считаете что книга интересная вам нужна всем. Мне ее в туалете положить на случай отсутствия туалетной бумаги, как в городке показывали?)
Почитайте Коран.",0,0,0,"понятно, вы считаете что книга интересная вам нужна всем. мне ее в туалете положить на случай отсутствия туалетной бумаги, как в городке показывали?) почитайте коран.",0,0,0,0.0,1,0.006024096385542169,166,25,neutral
Шоколад — враг здоровья!,0,0,0,шоколад — враг здоровья!,0,0,0,0.0,1,0.041666666666666664,24,4,negative
А в чём должны?,0,0,0,а в чём должны?,0,0,0,0.0,1,0.06666666666666667,15,4,negative
"Надеюсь, в два раза дороже?",0,0,0,"надеюсь, в два раза дороже?",0,0,0,0.0,1,0.037037037037037035,27,5,negative
"Ну, кто-то должен платить за эту работу. Которой становится всё больше. Государство видимо решило, а с хера ли это должны оплачивать налогоплательщики, так что пусть платят они же, но через повышение издержек всяких провайдеров, как следствие повышение цен на услуги. По-моему так честнее",0,0,0,"ну, кто-то должен платить за эту работу. которой становится всё больше. государство видимо решило, а с хера ли это должны оплачивать налогоплательщики, так что пусть платят они же, но через повышение издержек всяких провайдеров, как следствие повышение цен на услуги. по-моему так честнее",0,0,0,0.0,0,0.0,288,43,positive
"https://t.me/ScInqComments/276882 вот человек вроде спрашивал. Может, ему ещё нужно.",1,0,0,"вот человек вроде спрашивал. может, ему ещё нужно.",0,0,0,0.0,0,0.0,50,8,negative
"Господа, если кто хочет на лекцию Александра в Астане 11 июня, могу отдать свой билет. Так уж вышло, что приехать не смогу, а билеты невозвратные. Не охота чтобы зря пропадал)",0,0,0,"господа, если кто хочет на лекцию александра в астане 11 июня, могу отдать свой билет. так уж вышло, что приехать не смогу, а билеты невозвратные. не охота чтобы зря пропадал)",0,0,0,0.0,0,0.0,175,30,neutral
Новейший морской транспорт вооружения «Академик Ковалёв» прибыл в Североморск https://t.co/9dYyVNWcQJ #СоюзникиРоссии,1,0,1,новейший морской транспорт вооружения «академик ковалёв» прибыл в североморск #союзникироссии,0,1,1,0.1,0,0.0,93,10,neutral
"Полет на Марс а там уже и до ближайшей звезды, с гравитационными маневрами",0,0,0,"полет на марс а там уже и до ближайшей звезды, с гравитационными маневрами",0,0,0,0.0,0,0.0,74,13,negative
"Погоди, ща он мне про 2 высших образования залепит ;)",0,0,0,"погоди, ща он мне про 2 высших образования залепит ;)",0,0,0,0.0,0,0.0,53,10,neutral
Дед и внук � �  #Оборона@rus_improvisation https://t.co/n0PNCWJoc8,1,0,1,дед и внук � � #оборона@rus_improvisation,1,1,0,0.0,0,0.0,41,6,positive
#Навальный решил подергать за баранку.  https://t.co/fTYVQZ4VbE #новости #оппозиция #дальнобойщики #политика https://t.co/gXsaSa8fSj,1,0,1,#навальный решил подергать за баранку. #новости #оппозиция #дальнобойщики #политика,0,1,0,0.0,0,0.0,83,9,negative
Выйдет она для тестирования на реальных пользователях. В 2026м будет работать нормально.,0,0,0,выйдет она для тестирования на реальных пользователях. в 2026м будет работать нормально.,0,0,0,0.0,0,0.0,88,12,negative
Вот это сильное место. Оно мне больше всего понравилось  :)))),0,0,0,вот это сильное место. оно мне больше всего понравилось :)))),0,0,0,0.0,0,0.0,61,10,neutral
🐹,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
"А кому-то не хватает денег на операцию для ребенка и их собирают всем миром. А еще на то, чтобы солдаты имели дроны, машины, масксети и многое другое. Страна обожравшихся деньгами скотов",0,0,0,"а кому-то не хватает денег на операцию для ребенка и их собирают всем миром. а еще на то, чтобы солдаты имели дроны, машины, масксети и многое другое. страна обожравшихся деньгами скотов",0,0,0,0.0,0,0.0,186,31,positive
,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
Они хотя бы избавились от брака,0,0,0,они хотя бы избавились от брака,0,0,0,0.0,0,0.0,31,6,negative
только),0,0,0,только),0,0,0,0.0,0,0.0,7,1,negative
"Они п...дят)
Всё простод",0,0,0,они п...дят) всё простод,0,0,0,0.0,0,0.0,24,4,neutral
https://t.co/tOk3FRWg3B,1,0,1,,0,0,0,0.0,0,0.0,0,1,neutral
"С. Иванов: российский футбол не смотрю принципиально, мне неприятно http://t.co/bKRxpVyRVu",1,1,1,"с. иванов: российский футбол не смотрю принципиально, мне неприятно",0,0,0,0.0,0,0.0,67,9,negative
"У нас задержка рейса. Прошла по магазинам, купила обновки и раскрыла секрет содержания своей… https://t.co/I8YgNlyiDq",1,0,1,"у нас задержка рейса. прошла по магазинам, купила обновки и раскрыла секрет содержания своей…",0,0,0,0.0,0,0.0,93,14,negative
Продам билет на лекцию Александра в Алматы сегодня 7.06 в 19:00,0,0,0,продам билет на лекцию александра в алматы сегодня 7.06 в 19:00,0,0,0,0.0,0,0.0,63,11,negative
Глава МИД Британии назвал способы борьбы с ИГ https://t.co/ZLow8ZuQtf © AP Photo/ Virginia Mayo https://t.co/8Pghn1uert,1,1,1,глава мид британии назвал способы борьбы с иг © ap photo/ virginia mayo,0,0,0,0.0,0,0.0,71,13,negative
Тюменец заплатит 100 тысяч рублей за прописку мигрантов https://t.co/mVFtOl8geg #Тюмень #новости,1,0,1,тюменец заплатит 100 тысяч рублей за прописку мигрантов #тюмень #новости,0,1,0,0.0,0,0.0,72,10,negative
,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
"Спасибо, напишу",0,0,0,"спасибо, напишу",0,0,0,0.0,0,0.0,15,2,neutral
"Блин, ну она хоть стратегические места моет… А я вот после клуба вся липкая, но тебе бы разрешила облизать меня целиком, особенно между ног… 🥵",0,0,0,"блин, ну она хоть стратегические места моет… а я вот после клуба вся липкая, но тебе бы разрешила облизать меня целиком, особенно между ног…",0,0,0,0.0,0,0.0,140,24,positive
"EP ""FIVE"" завтра 20:00  https://t.co/UpMWhQfc80",1,1,1,"ep ""five"" завтра 20:00",0,0,0,0.0,0,0.0,22,4,neutral
Участники переговоров в Женеве признали Сирию светским государством https://t.co/VwjuBNOv6J,1,0,1,участники переговоров в женеве признали сирию светским государством,0,0,0,0.0,0,0.0,67,8,negative
Скоро появится новый тренд!,0,0,0,скоро появится новый тренд!,0,0,0,0.0,1,0.037037037037037035,27,4,negative
"А может всё это театр, ну по типу рестлинга, в котором выступал Трамп, где тоже все ссорятся и ломают друг об друга каскадёрский реквизит или комедий, в которых снимался Трамп или очередные «полёты на Луну в прямом эфире», а?",0,0,0,"а может всё это театр, ну по типу рестлинга, в котором выступал трамп, где тоже все ссорятся и ломают друг об друга каскадёрский реквизит или комедий, в которых снимался трамп или очередные «полёты на луну в прямом эфире», а?",0,0,0,0.0,1,0.0044444444444444444,225,39,negative
"Градус напряжения пошел вниз - Кубань вышла из ""красной группы"" по уровню конфликтностиКраснодарский край переместился в https://t.co/limA5mpwAt",1,0,1,"градус напряжения пошел вниз - кубань вышла из ""красной группы"" по уровню конфликтностикраснодарский край переместился в",0,0,0,0.0,0,0.0,120,16,negative
"Так это и есть нечеткая логика - когда утверждение имеет размытые границы, отнесение к определенной категории - частный случай утверждения.",0,0,0,"так это и есть нечеткая логика - когда утверждение имеет размытые границы, отнесение к определенной категории - частный случай утверждения.",0,0,0,0.0,0,0.0,139,20,positive
"Могло бы быть адекватно, если бы тариф был бы не пропорционален массе, а, например, квадратному корню от массы.

Но почему-то законодатели не умеют в функции сложнее линейной. Вот и выходит, что аппроксимация реальности при этрм выходит очень кривой.",0,0,0,"могло бы быть адекватно, если бы тариф был бы не пропорционален массе, а, например, квадратному корню от массы. но почему-то законодатели не умеют в функции сложнее линейной. вот и выходит, что аппроксимация реальности при этрм выходит очень кривой.",0,0,0,0.0,0,0.0,249,38,positive
А есть хотя бы примерные оценки сколько сгорело газа за 50 лет?,0,0,0,а есть хотя бы примерные оценки сколько сгорело газа за 50 лет?,0,0,0,0.0,1,0.015873015873015872,63,12,negative
"Скажите, сейчас 2018 год? Или, может быть 2015? Или 2011? Или же 2002?

Кем называется?)",0,0,0,"скажите, сейчас 2018 год? или, может быть 2015? или 2011? или же 2002? кем называется?)",0,0,0,0.0,5,0.05747126436781609,87,15,neutral
"Цитата дня:
""Когнитивные психологи используют понятие «радиальных категорий» для описания границ не-аристотелевых понятий. Центральное понятие «мать» означает женщину, которая участвует в зачатии, рождении и воспитании ребёнка. Донор яйцеклеток, которая никогда не увидит своего ребенка будет матерью? Она — «генетическая мать». Как насчет женщины, в которую имплантировали эмбрион, чтоб она его выносила? Она — «суррогатная мать». Ну а женщина, которая воспитывает ребенка, которого не рожала? Она — «приемная мать». Аристотелевский силлогизм звучал бы: «У людей десять пальцев, у Фреда — девять, следовательно — Фред не человек», но в действительности люди думают об этом так: «У людей десять пальцев, Фред — человек, следовательно, Фред — человек с девятью пальцами».
На языке интенсионалов мы можем описать радиальность категорий так: у объекта свойства категории обычно присутствуют, но некоторые могут отсутствовать. Интенсионал слова «мать» будет похож на распределенное по пространству вещей сияние, яркость которого соответствует тому, насколько координаты точки в пространстве соответствуют категории «мать». Сияние будет сконцентрировано в центре, который соответствует одновременно зачатию, рождению и воспитанию. Объём, в который попадут доноры яйцеклеток, тоже будут светиться, но не так ярко.""",0,1,0,"цитата дня: ""когнитивные психологи используют понятие «радиальных категорий» для описания границ не-аристотелевых понятий. центральное понятие «мать» означает женщину, которая участвует в зачатии, рождении и воспитании ребёнка. донор яйцеклеток, которая никогда не увидит своего ребенка будет матерью? она — «генетическая мать». как насчет женщины, в которую имплантировали эмбрион, чтоб она его выносила? она — «суррогатная мать». ну а женщина, которая воспитывает ребенка, которого не рожала? она — «приемная мать». аристотелевский силлогизм звучал бы: «у людей десять пальцев, у фреда — девять, следовательно — фред не человек», но в действительности люди думают об этом так: «у людей десять пальцев, фред — человек, следовательно, фред — человек с девятью пальцами». на языке интенсионалов мы можем описать радиальность категорий так: у объекта свойства категории обычно присутствуют, но некоторые могут отсутствовать. интенсионал слова «мать» будет похож на распределенное по пространству вещей сияние, яркость которого соответствует тому, насколько координаты точки в пространстве соответствуют категории «мать». сияние будет сконцентрировано в центре, который соответствует одновременно зачатию, рождению и воспитанию. объём, в который попадут доноры яйцеклеток, тоже будут светиться, но не так ярко.""",0,0,0,0.0,3,0.0022935779816513763,1308,174,negative
"Хорошей пятницы, друзья! #Nsk #Новосибирск https://t.co/hAZrSVHYdE",1,0,1,"хорошей пятницы, друзья! #nsk #новосибирск",0,1,0,0.0,1,0.023809523809523808,42,5,neutral
"А какой следущий этап?)
Что делать будут?",0,0,0,а какой следущий этап?) что делать будут?,0,0,0,0.0,2,0.04878048780487805,41,7,neutral
"Кто в Сочи останется без света: отключения 14 июня: Сегодня, 14 июня, в течение дня жители 10 населенных пунк... https://t.co/cfFCsO40d0",1,0,1,"кто в сочи останется без света: отключения 14 июня: сегодня, 14 июня, в течение дня жители 10 населенных пунк...",0,0,0,0.0,0,0.0,112,19,negative
"Да, ручное регулирование оно такое",0,0,0,"да, ручное регулирование оно такое",0,0,0,0.0,0,0.0,34,5,positive
"Типа нос занедорого и подрихтовать можно, а вот с интеллектом так не пойдет. Но выбирают все равно нос",0,0,0,"типа нос занедорого и подрихтовать можно, а вот с интеллектом так не пойдет. но выбирают все равно нос",0,0,0,0.0,0,0.0,102,18,negative
💟,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
"https://t.me/starbasepost/2337?single

По моему все было как обычно.",1,0,0,по моему все было как обычно.,0,0,0,0.0,0,0.0,29,6,negative
"Когда v3 добавят, думаю станет веселее",0,0,0,"когда v3 добавят, думаю станет веселее",0,0,0,0.0,0,0.0,38,6,negative
Как и абсолютному большинству. Но нужно же сделать новость из воздуха..,0,0,0,как и абсолютному большинству. но нужно же сделать новость из воздуха..,0,0,0,0.0,0,0.0,71,11,positive
"Что там за клоун в чате, Сергей, покажись. Что тебя не устроило?",0,0,0,"что там за клоун в чате, сергей, покажись. что тебя не устроило?",0,0,0,0.0,1,0.015625,64,12,negative
FAA буквально создало и контролирует самую развитую авиаотрасль в мире) ничего эффективнее просто не существует судя по результатам,0,1,0,faa буквально создало и контролирует самую развитую авиаотрасль в мире) ничего эффективнее просто не существует судя по результатам,0,0,0,0.0,0,0.0,131,18,neutral
Движение троллейбусов между Симферополем и Ялтой приостановлено из-за обесточивания линии https://t.co/vM8nVKsoj8 https://t.co/nZm9jDGJop,1,0,1,движение троллейбусов между симферополем и ялтой приостановлено из-за обесточивания линии,0,0,0,0.0,0,0.0,89,10,negative
#Явлинский: Я выиграю #выборы у #Путин'а.  https://t.co/GwugR7r5VA #новости #политика  #Яблоко #выборы #РФ https://t.co/SGsggEftEk,1,1,1,#явлинский: я выиграю #выборы у #путин'а. #новости #политика #яблоко #выборы #рф,0,1,0,0.0,0,0.0,80,11,negative
"Спикер Госсовета РТ: ИГИЛ – это люди безрелигиозные, безбожники и без национальности https://t.co/JosU9zg3Mm",1,1,1,"спикер госсовета рт: игил – это люди безрелигиозные, безбожники и без национальности",0,0,0,0.0,0,0.0,84,12,negative
"А правки и надстройки патчами выходят на разные устройства в разные периоды и начнутся числа после точек.. и снова будет 26.1.1 и тд.. и везде разное..
Так что это бред, шило на мыло меняют.",0,0,0,"а правки и надстройки патчами выходят на разные устройства в разные периоды и начнутся числа после точек.. и снова будет 26.1.1 и тд.. и везде разное.. так что это бред, шило на мыло меняют.",0,0,0,0.0,0,0.0,190,34,positive
"""Бессмертие для всех, даром, и пусть никто не уйдет обиженный! """,0,0,0,"""бессмертие для всех, даром, и пусть никто не уйдет обиженный! """,0,0,0,0.0,1,0.015625,64,11,positive
Ирак: боевики ИГ взяли на себя ответственность за теракт в Багдаде   https://t.co/fccOwe4N1m https://t.co/KDpe9DaO2C,1,1,1,ирак: боевики иг взяли на себя ответственность за теракт в багдаде,0,0,0,0.0,0,0.0,66,11,positive
как и было предсказано..,0,0,0,как и было предсказано..,0,0,0,0.0,0,0.0,24,4,positive
👀,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
"О, мои коллеги засветились! 

Они, кстати, в сентябре проводят большую конференцию по теме ""развитие науки и технологий в СССР"". Может быть, кому-то из читателей будет [интересно.](https://t.me/sciencehistoryrsuh/1290)",1,1,0,"о, мои коллеги засветились! они, кстати, в сентябре проводят большую конференцию по теме ""развитие науки и технологий в ссср"". может быть, кому-то из читателей будет [интересно.](",0,0,0,0.0,1,0.00558659217877095,179,26,positive
Совет WADA утвердил решение о несоответствии РУСАДА кодексу организации  https://t.co/SZWh3mmloV,1,1,1,совет wada утвердил решение о несоответствии русада кодексу организации,0,0,0,0.0,0,0.0,71,9,negative
Почему ошибочно? Именно так любое государство и работает,0,0,0,почему ошибочно? именно так любое государство и работает,0,0,0,0.0,1,0.017857142857142856,56,8,negative
"Ну вот, а должны были американцы «вернуться» на Луну😁😁 благодаря проекту «Артемида».
Но теперь облом, ведь два медийных человека друг друга обозвали в соцсетях😁",0,0,0,"ну вот, а должны были американцы «вернуться» на луну благодаря проекту «артемида». но теперь облом, ведь два медийных человека друг друга обозвали в соцсетях",0,0,0,0.0,0,0.0,157,24,positive
"Данные свидетельствуют о том, что, возможно, пришло время отказаться от термина «случайная ошибка», когда речь идет о мутациях ДНК, и заменить его на .... а вот на что это мы в дебатах панчину и настучим ыыы.",0,1,0,"данные свидетельствуют о том, что, возможно, пришло время отказаться от термина «случайная ошибка», когда речь идет о мутациях днк, и заменить его на .... а вот на что это мы в дебатах панчину и настучим ыыы.",0,0,0,0.0,0,0.0,208,36,negative
ВИДЕО. В Алма-Ате эвакуируют жителей  http://t.co/T0vhRmwwCz http://t.co/Khk0F6g2oL,1,1,1,видео. в алма-ате эвакуируют жителей,0,0,0,0.0,0,0.0,36,5,negative
"Ад пуст, все бесы здесь",0,0,0,"ад пуст, все бесы здесь",0,0,0,0.0,0,0.0,23,5,positive
опять какой то текст на непонятном языке 🤷‍♂,0,0,0,опять какой то текст на непонятном языке ‍♂,0,0,0,0.0,0,0.0,43,8,positive
"я например редко ставлю минорные обновления в день выхода, или в принципе не обновляюсь, только когда совсем станет нечего делать

но в сентябре всегда ставлю новую версию, чтобы потыкать че там нового завезли",0,0,0,"я например редко ставлю минорные обновления в день выхода, или в принципе не обновляюсь, только когда совсем станет нечего делать но в сентябре всегда ставлю новую версию, чтобы потыкать че там нового завезли",0,0,0,0.0,0,0.0,208,33,positive
Ждем доп. плату за каждую тонну веса ракеты.,0,0,0,ждем доп. плату за каждую тонну веса ракеты.,0,0,0,0.0,0,0.0,44,8,negative
Ну тогда посмотрим что будет дальше,0,0,0,ну тогда посмотрим что будет дальше,0,0,0,0.0,0,0.0,35,6,negative
"__Но 11 августа 1937 г. он был арестован по ложному доносу, осужден и погиб в Северо-Восточном лагере (на территории «Дальстроя» на Колыме) 8 августа 1940 г. Реабилитирован в 1956 г. __
https://www.orientalstudies.ru/rus/images/pdf/add1/b_kulganek_yusupova_eds_2021.pdf

😞",1,0,0,"__но 11 августа 1937 г. он был арестован по ложному доносу, осужден и погиб в северо-восточном лагере (на территории «дальстроя» на колыме) 8 августа 1940 г. реабилитирован в 1956 г. __",0,0,0,0.0,0,0.0,185,31,positive
https://t.co/tEcnyK3v1i,1,0,1,,0,0,0,0.0,0,0.0,0,1,neutral
Магнитогорские хоккеисты уступили «Югре» https://t.co/hBTsC7dZ4c,1,0,1,магнитогорские хоккеисты уступили «югре»,0,0,0,0.0,0,0.0,40,4,positive
"Честно говоря, вообще абсолютно фиолетово, под каким номером будет ось. Кому не все равно…?",0,0,0,"честно говоря, вообще абсолютно фиолетово, под каким номером будет ось. кому не все равно…?",0,0,0,0.0,1,0.01098901098901099,91,14,negative
"Это классика, я не знаю какую пользу принесёт электричество, но налогов будет собираться с него Огого.",0,0,0,"это классика, я не знаю какую пользу принесёт электричество, но налогов будет собираться с него огого.",0,0,0,0.0,0,0.0,102,16,negative
"Астронавты это астронавты. Да, престиж, но в крайнем случае можно возить Роскосмосом. А может Боинг что-то достроит.

Оборона страны несколько другая история. Насчёт постановки возможно.",0,0,0,"астронавты это астронавты. да, престиж, но в крайнем случае можно возить роскосмосом. а может боинг что-то достроит. оборона страны несколько другая история. насчёт постановки возможно.",0,0,0,0.0,0,0.0,185,25,positive
"правые если что всгда были за налоги, да побольше и пожёстче. эт ток узкая прослойка либертарианцев иное рассказывает..",0,0,0,"правые если что всгда были за налоги, да побольше и пожёстче. эт ток узкая прослойка либертарианцев иное рассказывает..",0,0,0,0.0,0,0.0,119,18,positive
,0,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
"на практике если и ускорится возможность пускать, то пускать будет нечего и некому. но в ртс бы сработало наверное, там заморозка любого исследования бесплатная стопай и перекидывай приоритеты не получая пенальти.",0,0,0,"на практике если и ускорится возможность пускать, то пускать будет нечего и некому. но в ртс бы сработало наверное, там заморозка любого исследования бесплатная стопай и перекидывай приоритеты не получая пенальти.",0,0,1,0.03225806451612903,0,0.0,213,31,negative
Степана-то разбанили? 👀,0,0,0,степана-то разбанили?,0,0,0,0.0,1,0.047619047619047616,21,2,negative
"Большая разница, вы, что вы не в Исландии, или Новой Зеландии",0,0,0,"большая разница, вы, что вы не в исландии, или новой зеландии",0,0,0,0.0,0,0.0,61,11,negative
"Придурки, за всё платит конечный потребитель, а значит меньше покупать станут, обложить космическую сферу доп. налогами и она медленнее  развиваться будет, наоборот надо сделать закон благодаря которому первые 100 лет всё связанно с космосом будет без пошлин и налогов, это очень забустит развитие.",0,0,0,"придурки, за всё платит конечный потребитель, а значит меньше покупать станут, обложить космическую сферу доп. налогами и она медленнее развиваться будет, наоборот надо сделать закон благодаря которому первые 100 лет всё связанно с космосом будет без пошлин и налогов, это очень забустит развитие.",0,0,0,0.0,0,0.0,297,43,positive
"Оффтопик. Посмотрел вот такое видео https://youtu.be/5FJBHyLJ46U?si=j0qhbE4CdfNdNLS9 Что интересно: по ДНК преступника, которого не было в базе данных, нашли его троюродную сестру. И через неё предполагаемого преступника, родственника. Он и оказался преступником. Мощный инструмент, этот ваш ДНК-анализ. 👍",1,1,0,"оффтопик. посмотрел вот такое видео что интересно: по днк преступника, которого не было в базе данных, нашли его троюродную сестру. и через неё предполагаемого преступника, родственника. он и оказался преступником. мощный инструмент, этот ваш днк-анализ.",0,0,0,0.0,0,0.0,254,35,positive
А у бетотестеров будет ось 2026 года в первой половине 2025-го!,0,0,0,а у бетотестеров будет ось 2026 года в первой половине 2025-го!,0,0,0,0.0,1,0.015873015873015872,63,11,negative
"ИГ публично казнило двух мужчин, обвинив их провозе продовольствия в осаждённый Дейр-эз-Зор  https://t.co/2mHx2EK4iH https://t.co/aaKmsS1ipt",1,1,1,"иг публично казнило двух мужчин, обвинив их провозе продовольствия в осаждённый дейр-эз-зор",0,0,0,0.0,0,0.0,91,12,negative
Губернатор Нижегородской области Валерий Шанцев вошел в новый состав президиума Государственного совета РФ #НижнийНовгород https://t.co/56eJnabl03,1,1,1,губернатор нижегородской области валерий шанцев вошел в новый состав президиума государственного совета рф #нижнийновгород,0,1,0,0.0,0,0.0,122,14,negative
скажите путину что надо ещё больше таджиков завозить тогда они смогут ещё каких-нибудь болезней сюда притащить,0,0,0,скажите путину что надо ещё больше таджиков завозить тогда они смогут ещё каких-нибудь болезней сюда притащить,0,0,0,0.0,0,0.0,110,16,negative
гомеопатия существует а эволюция нет:) не тем ты панчин занимался всю жисть ыыы,0,0,0,гомеопатия существует а эволюция нет:) не тем ты панчин занимался всю жисть ыыы,0,0,0,0.0,0,0.0,79,13,neutral
Жителей Ванинского района лишили шанса купить алкоголь через Интернет https://t.co/3yNIx4VpLW,1,0,1,жителей ванинского района лишили шанса купить алкоголь через интернет,0,0,0,0.0,0,0.0,69,9,negative
Где я считаю?,0,0,0,где я считаю?,0,0,0,0.0,1,0.07692307692307693,13,3,negative
Не успел там побывать...(,0,0,0,не успел там побывать...(,0,0,0,0.0,0,0.0,25,4,positive
И всю эту красоту привожу я и мои коллеги)))),0,0,0,и всю эту красоту привожу я и мои коллеги)))),0,0,0,0.0,0,0.0,45,9,neutral
https://t.me/BIoomberg/38194,1,0,0,,0,0,0,0.0,0,0.0,0,1,neutral
"Вот она, любимая тема!",0,0,0,"вот она, любимая тема!",0,0,0,0.0,1,0.045454545454545456,22,4,neutral
Discovery закрывает культовое шоу «Разрушители легенд»  #кино,0,0,1,discovery закрывает культовое шоу «разрушители легенд» #кино,0,1,0,0.0,0,0.0,60,7,negative
"главное, чтобы путь нового поколения бустеров не был как путь шипов в2)",0,0,0,"главное, чтобы путь нового поколения бустеров не был как путь шипов в2)",0,0,0,0.0,0,0.0,71,12,neutral
А BO в футах и милях,0,1,0,а bo в футах и милях,0,0,0,0.0,0,0.0,20,6,negative
Свердловские инвалиды защитили свое имя от нападок ЦСКА https://t.co/PedEg6dJJ3 https://t.co/0FNYdlPiSm,1,1,1,свердловские инвалиды защитили свое имя от нападок цска,0,0,0,0.0,0,0.0,55,8,negative
"Бетатестеры не в счёт, это неофициальный релиз",0,0,0,"бетатестеры не в счёт, это неофициальный релиз",0,0,0,0.0,0,0.0,46,7,negative
Один из дворов в городе Кумертау кардинально преобразился. Местный общественный деятель украсил порядка десяти деревьев различными узорами. https://t.co/I5u1ncjpyD,1,0,1,один из дворов в городе кумертау кардинально преобразился. местный общественный деятель украсил порядка десяти деревьев различными узорами.,0,0,0,0.0,0,0.0,139,17,negative
Не понятно для чего знать какая именно ось стоит у тебя на часах или другом устройстве и в чем путаться,0,0,0,не понятно для чего знать какая именно ось стоит у тебя на часах или другом устройстве и в чем путаться,0,0,0,0.0,0,0.0,103,20,negative
"Кстати, Трамповский FAA вполне может начать затягивать получение разрешений для SpaceX…",0,1,0,"кстати, трамповский faa вполне может начать затягивать получение разрешений для spacex…",0,0,0,0.0,0,0.0,87,11,negative
'@realDonaldTrump @CNN @jaketapper @ABC @GStephanopoulos ВМайами сторонники Трампа напали на группу латиноамериканцев https://t.co/mqNMxYZMNG',1,1,1,'@realdonaldtrump @cnn @jaketapper @abc @gstephanopoulos вмайами сторонники трампа напали на группу латиноамериканцев,5,0,0,0.0,0,0.0,117,12,negative
ну как бы вам тонко так намекнуть.... понимаете Я нерусский и приведенные вами книги для меня лишены хоть какой то ценности Не нужно думать что мир вертится вокруг вас и все разделают именно ваши взгляды,0,0,0,ну как бы вам тонко так намекнуть.... понимаете я нерусский и приведенные вами книги для меня лишены хоть какой то ценности не нужно думать что мир вертится вокруг вас и все разделают именно ваши взгляды,0,0,0,0.0,0,0.0,203,35,positive
"Sony, контора ЛГБТшников!",0,0,0,"sony, контора лгбтшников!",0,0,0,0.0,1,0.04,25,3,negative
